ProbeID,GSM1920450,GSM1920411,GSM1920405,GSM1920406,GSM1920407,GSM1920408,GSM1920415,GSM1920447,GSM1920448,GSM1920413,GSM1920423,GSM1920452,GSM1920410,GSM1920412,GSM1920414,GSM1920416,GSM1920417,GSM1920418,GSM1920419,GSM1920422,GSM1920409,GSM1920451,GSM1920454,GSM1920456,GSM1920449,GSM1920420,GSM1920453
cg12140144,0.113412944777415,0.0254516233339639,0.0313387129168191,0.0324033799365581,0.0260638525401478,0.0410900152937452,0.0674001009152658,0.0568172579008959,0.0986417273799502,0.0295340645532871,0.0365898528526458,0.0732125159174458,0.0348851753936227,0.022969353667427,0.0213552496574036,0.0223557254935675,0.0227928121559729,0.029740813185228,0.0214028723125945,0.0458026174578153,0.0266149331697866,0.0327748695442467,0.0213064939202637,0.0375238517122147,0.0281381119671934,0.0253174131494227,0.068025393904155
cg26933021,0.760344841667145,0.784726376265453,0.869494274625745,0.772948626699572,0.721600224650306,0.752555075760989,0.710017209218496,0.754491859262699,0.754148826573351,0.728181211418734,0.711539416216378,0.727298120511197,0.722021797488728,0.696521971736516,0.760629856101811,0.701142572032363,0.689201896724959,0.747669574245579,0.725182045594697,0.671813009129705,0.804836940436624,0.827374448848375,0.724846353838481,0.680010777166577,0.817615460177842,0.802946498732498,0.747914326055586
cg20822990,0.396958266611648,0.398621822183645,0.390658735097515,0.313971595206466,0.281487598785631,0.428143259203813,0.307148851939081,0.36146685414672,0.401278258612117,0.294607592492458,0.29167058117589,0.397162549748831,0.308029507986481,0.355529953917198,0.398107818965744,0.329749114145195,0.342994336051828,0.228342282288733,0.422094643237165,0.320124419166561,0.39948255349677,0.363909157590263,0.433842134721419,0.398886505758885,0.529478886084873,0.465650688602667,0.294679776923113
cg07312601,0.72748236700806,0.783201117431742,0.830866288932251,0.790690486838447,0.773700043051121,0.747447068875823,0.74215148133254,0.612630299013504,0.72785959209812,0.701982302354702,0.699381387468319,0.687658459472055,0.745566701233033,0.720279632634009,0.806378369818597,0.801196681579051,0.729269992851087,0.670775782492789,0.785078896054617,0.713078407043844,0.780594899637315,0.765802025051258,0.817984906144127,0.689547210002735,0.746806506542306,0.822857090606301,0.673173702900729
cg09993145,0.401183665695992,0.224878370278204,0.543645573340765,0.65456355581316,0.743335389386958,0.259239199150369,0.581936411630579,0.56198926761135,0.473730302315423,0.519028619907077,0.555921000766425,0.572548997310739,0.626619900381698,0.496018836136559,0.473522288419801,0.686043011730453,0.555531195255143,0.65170148268417,0.472345398267733,0.395791490811154,0.407937096113959,0.468137331721835,0.372756571007473,0.423744533567929,0.271321446615276,0.321006413190996,0.568208501931035
cg23605843,0.0610725677323579,0.0521282852128818,0.0446089350856462,0.0632872185281425,0.0886286262420905,0.098689962024515,0.0713552072165397,0.105905094924405,0.0841023212493676,0.107911761182773,0.0902209263828543,0.113260117346094,0.109831906227861,0.091360407106017,0.074508105562046,0.0989922046651506,0.14896072325198,0.187248995812523,0.0898333005484135,0.167455250468669,0.10120442704402,0.0721720993887144,0.0627641234553731,0.0744807496230924,0.0802122526232772,0.0686825924446698,0.08889660949607
cg25410668,0.408122674659335,0.426317463031616,0.36884559927026,0.378800293012281,0.473237625413849,0.515899224878019,0.462160078592632,0.652372088301803,0.545229494607215,0.470091980168021,0.511847957517927,0.47592264733098,0.448762015005429,0.444038846361369,0.407368009287796,0.475689067503951,0.409805265679606,0.617762649765444,0.369948241989457,0.525597269804986,0.440715273895005,0.412574109848012,0.374789347382391,0.531491760971081,0.441092306448342,0.402575047201773,0.483653790590772
cg17879376,0.730612286855361,0.814296206573444,0.643320987767157,0.589268214114116,0.575226544049143,0.744188556962307,0.630519264901978,0.653521378577736,0.676115512402957,0.635742385458265,0.584350782347144,0.677079060652593,0.567343443421737,0.656267013668088,0.721818081178452,0.610517595537493,0.601683906215752,0.527694804108585,0.710954716064676,0.684663640900111,0.766998824079423,0.657737842509656,0.723251331817886,0.673817486680923,0.821518731812544,0.81518196645226,0.633536586149688
cg14962509,0.970129560077324,0.746018407254502,0.678524960541033,0.596165379031122,0.65352644782656,0.648522496359152,0.753786162065798,0.973517542977517,0.976576627153546,0.695914634538986,0.589059496560288,0.97040099823597,0.635965913689624,0.581043600555685,0.631050100476806,0.713503961275783,0.640689550458383,0.777764540373179,0.673875917704812,0.791599056455186,0.8037286566762,0.968846610026607,0.73601491229004,0.674746300534557,0.963506286944394,0.831962356958183,0.967318684324493
cg24375409,0.171437018101896,0.0231398116458615,0.0322062167954724,0.0914083416353141,0.426016235335259,0.160408680696222,0.208656563589008,0.323476005335332,0.217512662231563,0.198944344470829,0.0819374559844785,0.254743502470523,0.068782607182744,0.0536341803916767,0.0519467401726089,0.0695340505965072,0.0553691623146557,0.222180164689932,0.0570552606994912,0.147900360591058,0.153624850309606,0.247263741737948,0.0552617008311157,0.227212605530248,0.155212327247204,0.0736649400956289,0.473961675359772
